Property Name,Address,Area,Rental price,Property Type,Carpet area(sq ft),Contact,Maps link,url
Bare Shell Office Space,"in HBR Layout, Bangalore",1200,₹500000/Month,Commercial,N/A,N/A,https://www.google.com/maps/search/?api=1&query=in%2520HBR%2520Layout%252C%2520Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-hbr-layout-bangalore-east-1200-sq-ft-spid-Z82336400
Ready to move Office Space,"in 7th Block Koramangala, Bangalore",N/A,₹120000/Month,Commercial,1200,N/A,https://www.google.com/maps/search/?api=1&query=in%25207th%2520Block%2520Koramangala%252C%2520Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-7th-block-koramangala-bangalore-south-1200-sq-ft-spid-Y83825630
Commercial Shops for Lease,"in Gandhi Nagar, Majestic, Bangalore",N/A,N/A,N/A,1500,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Gandhi%2520Nagar%252C%2520Majestic%252C%2520Bangalore,https://www.99acres.com/shop-for-rent-lease-in-gandhi-nagar-bangalore-central-1500-sq-ft-spid-H81303755
Commercial Showrooms for Lease,"in Amarjyoti Nagar, Vijayanagar",N/A,N/A,N/A,2400,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Amarjyoti%2520Nagar%252C%2520Vijayanagar,https://www.99acres.com/showroom-for-rent-lease-in-amarjyoti-nagar-bangalore-west-2400-sq-ft-r1-spid-H78210945
Ready to move Office Space,"in OFF Cunningham Road, Ali Askar Road, Bangalore",N/A,₹275000/Month,Commercial,2650,N/A,https://www.google.com/maps/search/?api=1&query=in%2520OFF%2520Cunningham%2520Road%252C%2520Ali%2520Askar%2520Road%252C%2520Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-ali-askar-road-bangalore-central-2650-sq-ft-spid-A83656148
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.99acres.com/ivork-co-working-space-adugodi-bangalore-south-coworking-space-for-rent-cwspid-R83757538
Ready to move Office Space,"in NS Palya, BTM Layout",N/A,₹300000/Month,Commercial,5000,N/A,https://www.google.com/maps/search/?api=1&query=in%2520NS%2520Palya%252C%2520BTM%2520Layout,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-ns-palya-bangalore-south-5000-sq-ft-spid-Z82871392
Ready to move Office Space,"in Koramangala, Bangalore",N/A,₹272000/Month,Commercial,3025,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Koramangala%252C%2520Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-koramangala-bangalore-south-3025-sq-ft-spid-Z82291508
Bare Shell Office Space,"in Mahadevapura, Bangalore",3800,₹350000/Month,Commercial,N/A,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Mahadevapura%252C%2520Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-mahadevapura-bangalore-east-3800-sq-ft-spid-E83676752
Ready to move Office Space,"in Kasturi Nagar, Old Madras Road",N/A,₹850000/Month,Commercial,10500,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Kasturi%2520Nagar%252C%2520Old%2520Madras%2520Road,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-kasturi-nagar-bangalore-east-10500-sq-ft-spid-C81432449
Commercial Showrooms for Lease,"in Hessarghatta, Bangalore",N/A,N/A,N/A,18000,N/A,https://www.google.com/maps/search/?api=1&query=in%2520Hessarghatta%252C%2520Bangalore,https://www.99acres.com/showroom-for-rent-lease-in-hessarghatta-bangalore-north-18000-sq-ft-spid-I83743636
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.99acres.com/ifinstrats-co-working-whitefield-bangalore-east-coworking-space-for-rent-cwspid-O83795370
