Property Name,Address,Area,Rental price,Property Type,Carpet area(sq ft),Contact,Maps link,url
Manufacturing for Lease,"in Hardware Park, Devanahalli, Bangalore",N/A,N/A,N/A,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Hardware%20Park%2C%20Devanahalli%2C%20Bangalore,https://www.99acres.com/manufacturing-unit-space-for-rent-lease-in-devanahalli-bangalore-north-32000-sq-ft-r3-spid-A76871981
Ready to move Office Space,"in Whitefield, Bangalore",N/A,₹560000/Month,Commercial,9300,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Whitefield%2C%20Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-whitefield-bangalore-east-9300-sq-ft-r4-spid-G72366442
Bare Shell Office Space,"in HBR Layout, Bangalore",1200,₹500000/Month,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20HBR%20Layout%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-hbr-layout-bangalore-east-1200-sq-ft-spid-Z82336400
Ready to move Office Space,"in 7th Block Koramangala, Bangalore",N/A,₹120000/Month,Commercial,1200,Available after login,https://www.google.com/maps/search/?api=1&query=in%207th%20Block%20Koramangala%2C%20Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-7th-block-koramangala-bangalore-south-1200-sq-ft-spid-Y83825630
Commercial Shops for Lease,"in Gandhi Nagar, Majestic, Bangalore",N/A,N/A,N/A,1500,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Gandhi%20Nagar%2C%20Majestic%2C%20Bangalore,https://www.99acres.com/shop-for-rent-lease-in-gandhi-nagar-bangalore-central-1500-sq-ft-spid-H81303755
Commercial Showrooms for Lease,"in Amarjyoti Nagar, Vijayanagar",N/A,N/A,N/A,2400,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Amarjyoti%20Nagar%2C%20Vijayanagar,https://www.99acres.com/showroom-for-rent-lease-in-amarjyoti-nagar-bangalore-west-2400-sq-ft-r1-spid-H78210945
Ready to move Office Space,"in OFF Cunningham Road, Ali Askar Road, Bangalore",N/A,₹275000/Month,Commercial,2650,Available after login,https://www.google.com/maps/search/?api=1&query=in%20OFF%20Cunningham%20Road%2C%20Ali%20Askar%20Road%2C%20Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-ali-askar-road-bangalore-central-2650-sq-ft-spid-A83656148
N/A,N/A,N/A,N/A,N/A,N/A,Available after login,N/A,https://www.99acres.com/ivork-co-working-space-adugodi-bangalore-south-coworking-space-for-rent-cwspid-R83757538
Ready to move Office Space,"in NS Palya, BTM Layout",N/A,₹300000/Month,Commercial,5000,Available after login,https://www.google.com/maps/search/?api=1&query=in%20NS%20Palya%2C%20BTM%20Layout,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-ns-palya-bangalore-south-5000-sq-ft-spid-Z82871392
Ready to move Office Space,"in Koramangala, Bangalore",N/A,₹272000/Month,Commercial,3025,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Koramangala%2C%20Bangalore,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-koramangala-bangalore-south-3025-sq-ft-spid-Z82291508
Bare Shell Office Space,"in Mahadevapura, Bangalore",3800,₹350000/Month,Commercial,N/A,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Mahadevapura%2C%20Bangalore,https://www.99acres.com/bare-shell-office-space-for-rent-lease-in-mahadevapura-bangalore-east-3800-sq-ft-spid-E83676752
Ready to move Office Space,"in Kasturi Nagar, Old Madras Road",N/A,₹850000/Month,Commercial,10500,Available after login,https://www.google.com/maps/search/?api=1&query=in%20Kasturi%20Nagar%2C%20Old%20Madras%20Road,https://www.99acres.com/ready-to-move-office-space-for-rent-lease-in-kasturi-nagar-bangalore-east-10500-sq-ft-spid-C81432449
